"año"	"mes"	"Institucion_Salud"	"Numero_Atenciones"	"Ingresos"
2024	8	"Fundación e imperio"	900	7942680
2024	8	"Medibanc S.A."	750	6618900
2024	8	"Menos vida S.A."	1300	11472760
2024	8	"Salud Ltda."	1300	11472760
2024	8	"sinsalud S.A."	950	8383940
2024	8	"Vida uno S.A."	1350	11914020
2024	9	"Colmena de avispas S.A."	950	8383940
2024	9	"Cruz de Malta S.A."	800	7060160
2024	9	"Cruz pal cielo Ltda."	1550	13679060
2024	9	"especial S.A."	700	6177640
2024	9	"FONASA"	750	6618900
2024	9	"Fundación e imperio"	800	7060160
2024	9	"Medibanc S.A."	1050	9266460
2024	9	"Menos vida S.A."	1150	10148980
2024	9	"Salud Ltda."	1200	10590240
2024	9	"sinsalud S.A."	1000	8825200
2024	9	"Vida uno S.A."	1100	9707720
2024	10	"Colmena de avispas S.A."	1100	9707720
2024	10	"Cruz de Malta S.A."	850	7501420
2024	10	"Cruz pal cielo Ltda."	1100	9707720
2024	10	"especial S.A."	1050	9266460
2024	10	"FONASA"	900	7942680
2024	10	"Fundación e imperio"	1350	11914020
2024	10	"Medibanc S.A."	750	6618900
2024	10	"Menos vida S.A."	1600	14120320
2024	10	"Salud Ltda."	1250	11031500
2024	10	"sinsalud S.A."	1300	11472760
2024	10	"Vida uno S.A."	800	7060160
2024	11	"Colmena de avispas S.A."	1200	10590240
2024	11	"Cruz de Malta S.A."	650	5736380
2024	11	"Cruz pal cielo Ltda."	750	6618900
2024	11	"especial S.A."	800	7060160
2024	11	"FONASA"	950	8383940
2024	11	"Fundación e imperio"	1300	11472760
2024	11	"Medibanc S.A."	800	7060160
2024	11	"Menos vida S.A."	1100	9707720
2024	11	"Salud Ltda."	1250	11031500
2024	11	"sinsalud S.A."	1050	9266460
2024	11	"Vida uno S.A."	1100	9707720
2024	12	"Colmena de avispas S.A."	1050	9266460
2024	12	"Cruz de Malta S.A."	800	7060160
2024	12	"Cruz pal cielo Ltda."	900	7942680
2024	12	"especial S.A."	1300	11472760
2024	12	"FONASA"	1200	10590240
2024	12	"Fundación e imperio"	650	5736380
2024	12	"Medibanc S.A."	900	7942680
2024	12	"Menos vida S.A."	900	7942680
2024	12	"Salud Ltda."	750	6618900
2024	12	"sinsalud S.A."	1100	9707720
2024	12	"Vida uno S.A."	1100	9707720
2025	1	"Colmena de avispas S.A."	1400	12355280
2025	1	"Cruz de Malta S.A."	1300	11472760
2025	1	"Cruz pal cielo Ltda."	600	5295120
2025	1	"especial S.A."	1250	11031500
2025	1	"FONASA"	850	7501420
2025	1	"Fundación e imperio"	900	7942680
2025	1	"Medibanc S.A."	1050	9266460
2025	1	"Menos vida S.A."	900	7942680
2025	1	"Salud Ltda."	1150	10148980
2025	1	"sinsalud S.A."	1300	11472760
2025	1	"Vida uno S.A."	1000	8825200
2025	2	"Colmena de avispas S.A."	1750	15444100
2025	2	"Cruz de Malta S.A."	1050	9266460
2025	2	"Cruz pal cielo Ltda."	400	3530080
2025	2	"especial S.A."	900	7942680
2025	2	"FONASA"	850	7501420
2025	2	"Fundación e imperio"	1050	9266460
2025	2	"Medibanc S.A."	1000	8825200
2025	2	"Menos vida S.A."	1050	9266460
2025	2	"Salud Ltda."	850	7501420
2025	2	"sinsalud S.A."	750	6618900
2025	2	"Vida uno S.A."	900	7942680
2025	3	"Colmena de avispas S.A."	1100	9707720
2025	3	"Cruz de Malta S.A."	550	4853860
2025	3	"Cruz pal cielo Ltda."	1100	9707720
2025	3	"especial S.A."	950	8383940
2025	3	"FONASA"	950	8383940
2025	3	"Fundación e imperio"	1100	9707720
2025	3	"Medibanc S.A."	850	7501420
2025	3	"Menos vida S.A."	1300	11472760
2025	3	"Salud Ltda."	1300	11472760
2025	3	"sinsalud S.A."	1300	11472760
2025	3	"Vida uno S.A."	1150	10148980
2025	4	"Colmena de avispas S.A."	700	6177640
2025	4	"Cruz de Malta S.A."	850	7501420
2025	4	"Cruz pal cielo Ltda."	1050	9266460
2025	4	"especial S.A."	850	7501420
2025	4	"FONASA"	1050	9266460
2025	4	"Fundación e imperio"	1100	9707720
2025	4	"Medibanc S.A."	1000	8825200
2025	4	"Menos vida S.A."	900	7942680
2025	4	"Salud Ltda."	900	7942680
2025	4	"sinsalud S.A."	1000	8825200
2025	4	"Vida uno S.A."	950	8383940
2025	5	"Colmena de avispas S.A."	1500	13237800
2025	5	"Cruz de Malta S.A."	1150	10148980
2025	5	"Cruz pal cielo Ltda."	900	7942680
2025	5	"especial S.A."	800	7060160
2025	5	"FONASA"	850	7501420
2025	5	"Fundación e imperio"	1000	8825200
2025	5	"Medibanc S.A."	1100	9707720
2025	5	"Menos vida S.A."	1150	10148980
2025	5	"Salud Ltda."	1000	8825200
2025	5	"sinsalud S.A."	1000	8825200
2025	5	"Vida uno S.A."	800	7060160
2025	6	"Colmena de avispas S.A."	800	7060160
2025	6	"Cruz de Malta S.A."	1150	10148980
2025	6	"Cruz pal cielo Ltda."	750	6618900
2025	6	"especial S.A."	1050	9266460
2025	6	"FONASA"	700	6177640
2025	6	"Fundación e imperio"	850	7501420
2025	6	"Medibanc S.A."	1050	9266460
2025	6	"Menos vida S.A."	1100	9707720
2025	6	"Salud Ltda."	1150	10148980
2025	6	"sinsalud S.A."	1000	8825200
2025	6	"Vida uno S.A."	1150	10148980
2025	7	"Colmena de avispas S.A."	800	7060160
2025	7	"Cruz de Malta S.A."	800	7060160
2025	7	"Cruz pal cielo Ltda."	500	4412600
2025	7	"especial S.A."	1300	11472760
2025	7	"FONASA"	1350	11914020
2025	7	"Fundación e imperio"	1450	12796540
2025	7	"Medibanc S.A."	700	6177640
2025	7	"Menos vida S.A."	1400	12355280
2025	7	"Salud Ltda."	1100	9707720
2025	7	"sinsalud S.A."	650	5736380
2025	7	"Vida uno S.A."	1400	12355280
2025	8	"Colmena de avispas S.A."	700	6177640
2025	8	"Cruz de Malta S.A."	650	5736380
2025	8	"Cruz pal cielo Ltda."	600	5295120
2025	8	"especial S.A."	750	6618900
2025	8	"FONASA"	1200	10590240
2025	8	"Fundación e imperio"	1050	9266460
2025	8	"Medibanc S.A."	1050	9266460
2025	8	"Menos vida S.A."	1200	10590240
2025	8	"Salud Ltda."	1000	8825200
2025	8	"sinsalud S.A."	700	6177640
2025	8	"Vida uno S.A."	1100	9707720
