"Meses"	"Institucion_Salud"	"Numero_Atenciones"	"Ingresos_Fonasa"	"Ingresos_Colita"
"2024-05-01 00:00:00"	"Menos vida S.A."	8	2675940	13210560
"2024-05-01 00:00:00"	"Salud Ltda."	11	3938190	14606850
"2024-05-01 00:00:00"	"sinsalud S.A."	6	1266020	5455870
"2024-05-01 00:00:00"	"Vida uno S.A."	10	6281550	49708250
"2024-06-01 00:00:00"	"Colmena de avispas S.A."	11	43707080	179622280
"2024-06-01 00:00:00"	"Cruz de Malta S.A."	9	2501980	17133540
"2024-06-01 00:00:00"	"Cruz pal cielo Ltda."	9	1708520	10226590
"2024-06-01 00:00:00"	"especial S.A."	10	1552810	13773340
"2024-06-01 00:00:00"	"FONASA"	13	3717970	24488720
"2024-06-01 00:00:00"	"Fundación e imperio"	8	1127790	4716150
"2024-06-01 00:00:00"	"Medibanc S.A."	8	4408590	34257010
"2024-06-01 00:00:00"	"Menos vida S.A."	10	5331150	24435030
"2024-06-01 00:00:00"	"Salud Ltda."	11	649240	3429420
"2024-06-01 00:00:00"	"sinsalud S.A."	10	6312240	56760650
"2024-06-01 00:00:00"	"Vida uno S.A."	11	2315770	15966490
"2024-07-01 00:00:00"	"Colmena de avispas S.A."	8	1185140	8112900
"2024-07-01 00:00:00"	"Cruz de Malta S.A."	7	2466000	4746490
"2024-07-01 00:00:00"	"Cruz pal cielo Ltda."	6	14134600	86708120
"2024-07-01 00:00:00"	"especial S.A."	10	1521770	5433020
"2024-07-01 00:00:00"	"FONASA"	10	1671040	12814270
"2024-07-01 00:00:00"	"Fundación e imperio"	7	962860	1854340
"2024-07-01 00:00:00"	"Medibanc S.A."	14	2659880	7769850
"2024-07-01 00:00:00"	"Menos vida S.A."	9	1012940	4414170
"2024-07-01 00:00:00"	"Salud Ltda."	5	731590	3655240
"2024-07-01 00:00:00"	"sinsalud S.A."	10	3841160	14010660
"2024-07-01 00:00:00"	"Vida uno S.A."	13	2356180	14881600
"2024-08-01 00:00:00"	"Colmena de avispas S.A."	9	3295520	16860030
"2024-08-01 00:00:00"	"Cruz de Malta S.A."	5	798830	2473550
"2024-08-01 00:00:00"	"Cruz pal cielo Ltda."	6	1251750	4412030
"2024-08-01 00:00:00"	"especial S.A."	10	2047030	10654720
"2024-08-01 00:00:00"	"FONASA"	10	4465540	20913680
"2024-08-01 00:00:00"	"Fundación e imperio"	10	1786570	9027930
"2024-08-01 00:00:00"	"Medibanc S.A."	7	358280	1169610
"2024-08-01 00:00:00"	"Menos vida S.A."	15	1399330	11585690
"2024-08-01 00:00:00"	"Salud Ltda."	8	3232030	15327610
"2024-08-01 00:00:00"	"sinsalud S.A."	7	1366000	11325070
"2024-08-01 00:00:00"	"Vida uno S.A."	6	1160430	7425120
"2024-09-01 00:00:00"	"Colmena de avispas S.A."	3	416980	2114310
"2024-09-01 00:00:00"	"Cruz de Malta S.A."	6	608300	2431480
"2024-09-01 00:00:00"	"Cruz pal cielo Ltda."	11	807010	5270330
"2024-09-01 00:00:00"	"especial S.A."	8	789620	5084490
"2024-09-01 00:00:00"	"FONASA"	6	1319470	3395210
"2024-09-01 00:00:00"	"Fundación e imperio"	6	1520990	12986870
"2024-09-01 00:00:00"	"Medibanc S.A."	10	1988850	11848200
"2024-09-01 00:00:00"	"Menos vida S.A."	10	3149650	13128440
"2024-09-01 00:00:00"	"Salud Ltda."	12	2935640	15583460
"2024-09-01 00:00:00"	"sinsalud S.A."	6	2137330	12426900
"2024-09-01 00:00:00"	"Vida uno S.A."	10	899910	4588490
"2024-10-01 00:00:00"	"Colmena de avispas S.A."	7	729910	5842250
"2024-10-01 00:00:00"	"Cruz de Malta S.A."	8	2406700	16694850
"2024-10-01 00:00:00"	"Cruz pal cielo Ltda."	11	1938270	11163600
"2024-10-01 00:00:00"	"especial S.A."	10	6566320	45527660
"2024-10-01 00:00:00"	"FONASA"	9	37948650	225439730
"2024-10-01 00:00:00"	"Fundación e imperio"	13	6149120	26939900
"2024-10-01 00:00:00"	"Medibanc S.A."	3	21040	136620
"2024-10-01 00:00:00"	"Menos vida S.A."	14	2845660	17137930
"2024-10-01 00:00:00"	"Salud Ltda."	10	608260	3316240
"2024-10-01 00:00:00"	"sinsalud S.A."	10	1891660	13626470
"2024-10-01 00:00:00"	"Vida uno S.A."	10	1337670	6454970
"2024-11-01 00:00:00"	"Colmena de avispas S.A."	10	1824040	12198550
"2024-11-01 00:00:00"	"Cruz de Malta S.A."	7	4801800	44864110
"2024-11-01 00:00:00"	"Cruz pal cielo Ltda."	10	5399690	30363910
"2024-11-01 00:00:00"	"especial S.A."	10	2271660	15314900
"2024-11-01 00:00:00"	"FONASA"	9	1738140	15175960
"2024-11-01 00:00:00"	"Fundación e imperio"	13	4574930	13437100
"2024-11-01 00:00:00"	"Medibanc S.A."	8	2382830	14455870
"2024-11-01 00:00:00"	"Menos vida S.A."	10	4993130	38187440
"2024-11-01 00:00:00"	"Salud Ltda."	11	2647330	14878700
"2024-11-01 00:00:00"	"sinsalud S.A."	11	2145690	10459100
"2024-11-01 00:00:00"	"Vida uno S.A."	9	1715230	6894230
"2024-12-01 00:00:00"	"Colmena de avispas S.A."	11	2059580	11250930
"2024-12-01 00:00:00"	"Cruz de Malta S.A."	5	815410	3037970
"2024-12-01 00:00:00"	"Cruz pal cielo Ltda."	6	565220	4138360
"2024-12-01 00:00:00"	"especial S.A."	14	3404730	15855530
"2024-12-01 00:00:00"	"FONASA"	8	1526140	10771340
"2024-12-01 00:00:00"	"Fundación e imperio"	6	1434920	5256540
"2024-12-01 00:00:00"	"Medibanc S.A."	11	1336730	8726530
"2024-12-01 00:00:00"	"Menos vida S.A."	3	1810390	13166890
"2024-12-01 00:00:00"	"Salud Ltda."	3	242590	791820
"2024-12-01 00:00:00"	"sinsalud S.A."	8	848750	5589240
"2024-12-01 00:00:00"	"Vida uno S.A."	8	2799720	3462680
"2025-01-01 00:00:00"	"Colmena de avispas S.A."	12	6780800	37414700
"2025-01-01 00:00:00"	"Cruz de Malta S.A."	12	3834280	28971200
"2025-01-01 00:00:00"	"Cruz pal cielo Ltda."	4	554540	2296980
"2025-01-01 00:00:00"	"especial S.A."	14	5767570	26849500
"2025-01-01 00:00:00"	"FONASA"	9	14481040	109156060
"2025-01-01 00:00:00"	"Fundación e imperio"	9	1982940	7420030
"2025-01-01 00:00:00"	"Medibanc S.A."	9	988880	5014690
"2025-01-01 00:00:00"	"Menos vida S.A."	8	5722370	17921930
"2025-01-01 00:00:00"	"Salud Ltda."	12	3940720	21885470
"2025-01-01 00:00:00"	"sinsalud S.A."	9	1535380	6175300
"2025-01-01 00:00:00"	"Vida uno S.A."	7	1217560	9826510
"2025-02-01 00:00:00"	"Colmena de avispas S.A."	18	4606270	33475950
"2025-02-01 00:00:00"	"Cruz de Malta S.A."	7	2914550	6187010
"2025-02-01 00:00:00"	"Cruz pal cielo Ltda."	5	789630	1855600
"2025-02-01 00:00:00"	"especial S.A."	10	1939880	13787980
"2025-02-01 00:00:00"	"FONASA"	5	1167680	5994310
"2025-02-01 00:00:00"	"Fundación e imperio"	10	2415340	14676190
"2025-02-01 00:00:00"	"Medibanc S.A."	9	977000	2941440
"2025-02-01 00:00:00"	"Menos vida S.A."	7	5361280	28272520
"2025-02-01 00:00:00"	"Salud Ltda."	9	1140730	6561230
"2025-02-01 00:00:00"	"sinsalud S.A."	6	2606890	21666920
"2025-02-01 00:00:00"	"Vida uno S.A."	5	581150	3280850
"2025-03-01 00:00:00"	"Colmena de avispas S.A."	7	1056100	3945760
"2025-03-01 00:00:00"	"Cruz de Malta S.A."	5	1043030	2356950
"2025-03-01 00:00:00"	"Cruz pal cielo Ltda."	9	9177070	51469790
"2025-03-01 00:00:00"	"especial S.A."	6	270010	1910250
"2025-03-01 00:00:00"	"FONASA"	9	1567500	5907210
"2025-03-01 00:00:00"	"Fundación e imperio"	10	2663620	16163600
"2025-03-01 00:00:00"	"Medibanc S.A."	7	5876470	27191410
"2025-03-01 00:00:00"	"Menos vida S.A."	11	2121190	8210540
"2025-03-01 00:00:00"	"Salud Ltda."	11	1650860	11401880
"2025-03-01 00:00:00"	"sinsalud S.A."	14	4483380	29817920
"2025-03-01 00:00:00"	"Vida uno S.A."	9	2319890	8791410
"2025-04-01 00:00:00"	"Colmena de avispas S.A."	7	1724060	11115970
"2025-04-01 00:00:00"	"Cruz de Malta S.A."	6	2500840	15115200
"2025-04-01 00:00:00"	"Cruz pal cielo Ltda."	12	1129720	7402110
"2025-04-01 00:00:00"	"especial S.A."	4	1405960	3544510
"2025-04-01 00:00:00"	"FONASA"	9	1264990	3133490
"2025-04-01 00:00:00"	"Fundación e imperio"	9	2358700	12418880
"2025-04-01 00:00:00"	"Medibanc S.A."	8	1092540	5592680
"2025-04-01 00:00:00"	"Menos vida S.A."	9	2330530	13536690
"2025-04-01 00:00:00"	"Salud Ltda."	5	996130	4431000
"2025-04-01 00:00:00"	"sinsalud S.A."	10	2256040	11846810
"2025-04-01 00:00:00"	"Vida uno S.A."	7	7690460	25019720
"2025-05-01 00:00:00"	"Colmena de avispas S.A."	14	3030280	11344960
"2025-05-01 00:00:00"	"Cruz de Malta S.A."	12	6280770	18953320
"2025-05-01 00:00:00"	"Cruz pal cielo Ltda."	10	2795810	13550090
"2025-05-01 00:00:00"	"especial S.A."	9	10670120	51156420
"2025-05-01 00:00:00"	"FONASA"	8	1140720	3508420
"2025-05-01 00:00:00"	"Fundación e imperio"	7	1361760	8651780
"2025-05-01 00:00:00"	"Medibanc S.A."	10	1533750	5609470
"2025-05-01 00:00:00"	"Menos vida S.A."	9	2218530	8724150
"2025-05-01 00:00:00"	"Salud Ltda."	11	2916040	18292390
"2025-05-01 00:00:00"	"sinsalud S.A."	8	659760	3762670
"2025-05-01 00:00:00"	"Vida uno S.A."	7	2697770	6043790
"2025-06-01 00:00:00"	"Colmena de avispas S.A."	9	1295780	7848250
"2025-06-01 00:00:00"	"Cruz de Malta S.A."	7	3721250	21212720
"2025-06-01 00:00:00"	"Cruz pal cielo Ltda."	5	1066160	5332600
"2025-06-01 00:00:00"	"especial S.A."	6	1803630	7572030
"2025-06-01 00:00:00"	"FONASA"	5	520270	3280180
"2025-06-01 00:00:00"	"Fundación e imperio"	8	3842170	18660710
"2025-06-01 00:00:00"	"Medibanc S.A."	10	2566570	19366280
"2025-06-01 00:00:00"	"Menos vida S.A."	11	2602310	16354100
"2025-06-01 00:00:00"	"Salud Ltda."	10	1830640	9825960
"2025-06-01 00:00:00"	"sinsalud S.A."	9	1515100	8888930
"2025-06-01 00:00:00"	"Vida uno S.A."	11	1696680	7592620
"2025-07-01 00:00:00"	"Colmena de avispas S.A."	7	117090	536190
"2025-07-01 00:00:00"	"Cruz de Malta S.A."	7	5846860	32118790
"2025-07-01 00:00:00"	"Cruz pal cielo Ltda."	6	441420	2642690
"2025-07-01 00:00:00"	"especial S.A."	8	1209240	6448260
"2025-07-01 00:00:00"	"FONASA"	12	3821190	26870630
"2025-07-01 00:00:00"	"Fundación e imperio"	12	1673150	10567500
"2025-07-01 00:00:00"	"Medibanc S.A."	4	210450	978550
"2025-07-01 00:00:00"	"Menos vida S.A."	11	3162900	11130780
"2025-07-01 00:00:00"	"Salud Ltda."	5	3317430	4577340
"2025-07-01 00:00:00"	"sinsalud S.A."	8	293250	1176510
"2025-07-01 00:00:00"	"Vida uno S.A."	13	3056930	14783500
"2025-08-01 00:00:00"	"Colmena de avispas S.A."	4	1587720	12023410
"2025-08-01 00:00:00"	"Cruz de Malta S.A."	5	421890	1547940
"2025-08-01 00:00:00"	"Cruz pal cielo Ltda."	6	1234890	10610860
"2025-08-01 00:00:00"	"especial S.A."	8	663940	4457830
"2025-08-01 00:00:00"	"FONASA"	16	3606150	23050900
"2025-08-01 00:00:00"	"Fundación e imperio"	3	483650	1851020
"2025-08-01 00:00:00"	"Medibanc S.A."	8	24418830	50664750
"2025-08-01 00:00:00"	"Menos vida S.A."	11	2042410	9525800
"2025-08-01 00:00:00"	"Salud Ltda."	11	3441720	17788630
"2025-08-01 00:00:00"	"sinsalud S.A."	2	384860	2227880
"2025-08-01 00:00:00"	"Vida uno S.A."	7	925650	5317500
